"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26.08.2022","163,62","170,57","171,05","163,56","78,96M","-3,77%"
"25.08.2022","170,03","168,78","170,14","168,35","51,22M","1,49%"
"24.08.2022","167,53","167,32","168,11","166,24","53,84M","0,18%"
"23.08.2022","167,23","167,08","168,71","166,65","54,15M","-0,20%"
"22.08.2022","167,57","169,69","169,86","167,13","69,03M","-2,30%"
"19.08.2022","171,52","173,03","173,74","171,31","70,35M","-1,51%"
"18.08.2022","174,15","173,75","174,90","173,12","62,29M","-0,23%"
"17.08.2022","174,55","172,77","176,15","172,57","79,54M","0,88%"
"16.08.2022","173,03","172,78","173,71","171,66","56,38M","-0,09%"
"15.08.2022","173,19","171,52","173,39","171,35","54,09M","0,63%"
"12.08.2022","172,10","169,82","172,17","169,40","68,04M","2,14%"
"11.08.2022","168,49","170,06","170,99","168,19","57,15M","-0,44%"
"10.08.2022","169,24","167,68","169,34","166,90","70,17M","2,62%"
"09.08.2022","164,92","164,02","165,82","163,25","63,14M","0,03%"
"08.08.2022","164,87","166,37","167,81","164,20","60,36M","-0,29%"
"05.08.2022","165,35","163,21","165,85","163,00","56,70M","-0,28%"
"04.08.2022","165,81","166,01","167,19","164,43","55,47M","-0,19%"
"03.08.2022","166,13","160,84","166,59","160,75","82,51M","3,82%"
"02.08.2022","160,01","160,10","162,41","159,63","59,91M","-0,93%"
"01.08.2022","161,51","161,01","163,59","160,89","67,83M","-0,62%"
"29.07.2022","162,51","161,24","163,63","159,50","101,79M","3,28%"
"28.07.2022","157,35","156,98","157,64","154,41","81,38M","0,36%"
"27.07.2022","156,79","152,58","157,33","152,16","78,62M","3,42%"
"26.07.2022","151,60","152,26","153,09","150,80","55,14M","-0,88%"
"25.07.2022","152,95","154,01","155,04","152,28","53,62M","-0,74%"
"22.07.2022","154,09","155,39","156,28","153,41","66,68M","-0,81%"
"21.07.2022","155,35","154,50","155,57","151,94","65,09M","1,51%"
"20.07.2022","153,04","151,12","153,72","150,37","64,82M","1,35%"
