"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26.08.2022","223,28","233,63","236,95","223,15","5,35M","-4,57%"
"25.08.2022","233,98","230,24","234,16","229,00","3,77M","1,90%"
"24.08.2022","229,61","225,66","234,10","223,94","5,43M","2,25%"
"23.08.2022","224,55","226,46","229,90","224,30","5,28M","-0,88%"
"22.08.2022","226,54","232,55","233,48","224,59","8,63M","-6,06%"
"19.08.2022","241,16","240,95","243,29","235,68","7,50M","-1,64%"
"18.08.2022","245,17","241,96","246,48","239,28","5,28M","1,67%"
"17.08.2022","241,15","241,18","244,24","237,56","5,63M","-1,85%"
"16.08.2022","245,69","247,16","249,29","244,03","5,14M","-1,37%"
"15.08.2022","249,11","248,11","251,99","247,51","6,53M","-0,08%"
"12.08.2022","249,30","244,81","249,41","243,76","6,10M","2,72%"
"11.08.2022","242,70","244,68","251,62","241,51","8,78M","-0,58%"
"10.08.2022","244,11","236,99","244,54","236,60","9,25M","6,16%"
"09.08.2022","229,94","231,62","232,20","224,65","6,18M","-1,52%"
"08.08.2022","233,49","227,49","241,96","226,41","11,00M","2,96%"
"05.08.2022","226,78","225,30","228,62","222,87","5,54M","-1,36%"
"04.08.2022","229,91","227,68","232,07","225,05","7,14M","1,40%"
"03.08.2022","226,73","224,79","228,10","222,42","6,40M","2,40%"
"02.08.2022","221,42","222,76","228,20","220,88","6,36M","-2,12%"
"01.08.2022","226,21","223,10","228,39","221,00","5,53M","0,58%"
"29.07.2022","224,90","223,29","230,75","222,40","9,06M","-0,50%"
"28.07.2022","226,02","224,60","228,10","219,67","8,97M","-0,32%"
"27.07.2022","226,75","216,48","227,78","214,58","10,51M","6,00%"
"26.07.2022","213,91","216,66","219,39","211,64","9,51M","-2,11%"
"25.07.2022","218,51","221,31","225,23","216,35","10,94M","-0,88%"
"22.07.2022","220,44","222,38","229,35","218,44","17,81M","-1,54%"
"21.07.2022","223,88","214,30","224,32","211,50","23,43M","3,44%"
"20.07.2022","216,44","208,17","216,97","200,10","53,92M","7,35%"
"19.07.2022","201,63","193,02","201,97","188,40","28,18M","5,61%"
"18.07.2022","190,92","192,50","199,67","189,80","16,32M","0,96%"
"15.07.2022","189,11","175,58","189,22","174,56","16,32M","8,20%"
"14.07.2022","174,78","175,56","177,52","171,82","9,04M","-1,01%"
"13.07.2022","176,56","170,50","179,18","169,70","12,73M","1,21%"
"12.07.2022","174,45","177,33","179,78","173,42","6,85M","-1,63%"
"11.07.2022","177,34","184,73","184,99","176,89","6,05M","-5,15%"
"08.07.2022","186,98","186,02","189,91","182,75","5,84M","-1,21%"
"07.07.2022","189,27","184,27","190,21","183,50","6,33M","2,83%"
"06.07.2022","184,06","185,20","186,22","180,82","5,75M","-0,98%"
"05.07.2022","185,88","176,28","185,92","172,68","7,34M","3,30%"
"01.07.2022","179,95","176,49","180,10","174,27","5,20M","2,91%"
